2026-09-17 14:30:19,199 - JOB [61a597dc-d9d8-41a0-8311-39691412a40c] | Action: detect_watermarks | Time: 2026-09-17T14:30:19.198987 | Details: {'total_pages': 10, 'candidates_found': 1, 'sampled': 10, 'warning': None}
2026-09-17 14:30:19,306 - JOB [a7eb9ee4-2845-4824-acd4-87f99d15071e] | Action: watermark_remove_done | Time: 2026-09-17T14:30:19.306158 | Details: {'total_pages': 10, 'output_path': 'D:\\Coding\\compressor_remover\\backend\\temp\\cleaned_a7eb9ee4-2845-4824-acd4-87f99d15071e.pdf'}
2026-09-17 14:30:19,602 - JOB [68f01034-e986-428a-85f8-1c06767e3cd2] | Action: detect_watermarks | Time: 2026-09-17T14:30:19.602420 | Details: {'total_pages': 10, 'candidates_found': 1, 'sampled': 10, 'warning': None}
2026-09-17 14:30:19,651 - JOB [c6db7395-7d1b-4e79-af33-db862c3021dc] | Action: watermark_remove_done | Time: 2026-09-17T14:30:19.651018 | Details: {'total_pages': 10, 'output_path': 'D:\\Coding\\compressor_remover\\backend\\temp\\cleaned_c6db7395-7d1b-4e79-af33-db862c3021dc.pdf'}
2026-09-17 14:30:19,978 - JOB [f762dc10-ec79-49e9-86e2-62e25bc63711] | Action: detect_watermarks | Time: 2026-09-17T14:30:19.978653 | Details: {'total_pages': 500, 'candidates_found': 1, 'sampled': 12, 'warning': None}
2026-09-17 14:30:22,839 - JOB [fc1b18c9-9beb-4cf8-a57b-c7978037525b] | Action: watermark_remove_done | Time: 2026-09-17T14:30:22.839111 | Details: {'total_pages': 500, 'output_path': 'D:\\Coding\\compressor_remover\\backend\\temp\\cleaned_fc1b18c9-9beb-4cf8-a57b-c7978037525b.pdf'}
2026-09-17 16:33:55,557 - JOB [9eaba4c0-998f-4fe7-b009-960fd70ab8c6] | Action: compress_start_fallback | Time: 2026-09-17T16:33:55.557637 | Details: {'level': 'low', 'orig_size_mb': 12.72, 'engine': 'pymupdf_fallback'}
2026-09-17 16:33:59,755 - JOB [9eaba4c0-998f-4fe7-b009-960fd70ab8c6] | Action: compress_done | Time: 2026-09-17T16:33:59.755352 | Details: {'level': 'low', 'orig_mb': 12.72, 'compressed_mb': 7.83, 'duration_sec': 4.27}
2026-09-17 16:34:00,002 - JOB [b27fb951-a110-4dec-bcef-ac0fbb038a6e] | Action: compress_start_fallback | Time: 2026-09-17T16:34:00.002294 | Details: {'level': 'medium', 'orig_size_mb': 12.72, 'engine': 'pymupdf_fallback'}
2026-09-17 16:34:03,350 - JOB [b27fb951-a110-4dec-bcef-ac0fbb038a6e] | Action: compress_done | Time: 2026-09-17T16:34:03.350724 | Details: {'level': 'medium', 'orig_mb': 12.72, 'compressed_mb': 4.18, 'duration_sec': 3.41}
